Num_Of_Room,Area,Age,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Floor_basement,Floor_first floor,Floor_interstage,Floor_top floor,Heat_type_Kombi,Heat_type_Merkezi,Heat_type_Merkezi (Pay Ölçer),Usage_Boş,Usage_Kiracılı,Usage_Mülk Sahibi,Price
9,550.0,4,3,1,0,6,0,1,0,0,1,0,0,1,0,0,17700000
4,145.0,16,4,1,0,2,0,0,1,0,1,0,0,1,0,0,2790000
8,340.0,18,4,1,0,3,0,0,1,0,1,0,0,1,0,0,4450000
4,110.0,25,3,1,0,1,1,0,0,0,1,0,0,0,0,1,1249000
4,120.0,26,10,1,0,1,0,0,1,0,1,0,0,1,0,0,2445000
5,147.0,30,11,1,0,1,0,0,1,0,0,1,0,0,1,0,4100000
4,125.0,22,2,1,0,2,0,0,1,0,1,0,0,1,0,0,2185000
4,125.0,30,9,1,0,1,0,0,1,0,1,0,0,0,0,1,1399000
5,350.0,5,3,1,0,3,0,0,0,1,1,0,0,0,0,1,3048000
4,180.0,17,5,1,0,1,0,0,1,0,1,0,0,0,0,1,3250000
4,176.0,8,24,1,0,2,0,1,0,0,0,0,1,0,1,0,3080000
4,180.0,6,6,1,0,2,0,0,1,0,1,0,0,0,1,0,3050000
4,135.0,9,5,1,0,2,0,0,1,0,0,0,1,0,0,1,3850000
4,185.0,16,10,0,0,2,0,0,1,0,1,0,0,0,1,0,4400000
5,185.0,5,8,1,0,2,0,0,1,0,1,0,0,1,0,0,2590000
4,135.0,7,5,1,0,2,0,0,1,0,1,0,0,0,0,1,1445000
5,185.0,15,12,1,0,1,0,0,1,0,0,0,1,1,0,0,5150000
3,105.0,13,3,1,1,1,0,0,1,0,1,0,0,0,1,0,1730000
5,170.0,7,6,1,0,2,0,0,1,0,1,0,0,0,0,1,3400000
5,170.0,8,8,1,0,2,0,0,1,0,1,0,0,0,1,0,3299000
4,130.0,25,14,1,0,1,0,0,1,0,0,1,0,0,1,0,2250000
3,95.0,26,3,1,0,1,1,0,0,0,1,0,0,1,0,0,1890000
5,175.0,24,2,1,0,2,0,0,1,0,1,0,0,1,0,0,3250000
3,95.0,28,3,1,1,1,1,0,0,0,1,0,0,0,1,0,1400000
2,60.0,35,5,1,1,1,0,0,1,0,1,0,0,1,0,0,1090000
5,200.0,2,17,1,0,2,0,0,1,0,0,0,1,0,0,1,3099000
7,350.0,13,3,1,0,1,0,0,1,0,1,0,0,1,0,0,4750000
7,350.0,13,3,1,0,1,0,0,1,0,1,0,0,1,0,0,4750000
5,200.0,10,10,1,0,2,0,0,1,0,0,0,1,0,0,1,4250000
5,160.0,22,4,1,0,1,0,0,1,0,1,0,0,1,0,0,2250000
4,140.0,30,2,1,0,1,0,1,0,0,1,0,0,0,0,1,3150000
6,320.0,1,5,1,0,1,0,0,1,0,1,0,0,1,0,0,2699000
4,125.0,25,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2150000
5,175.0,5,8,1,0,2,0,0,1,0,1,0,0,0,1,0,3300000
5,175.0,3,12,1,0,2,0,0,1,0,0,0,1,1,0,0,4749000
2,65.0,6,17,1,1,1,0,0,1,0,0,0,1,1,0,0,2100000
5,195.0,6,13,1,0,2,0,0,1,0,0,0,1,0,1,0,4399000
3,100.0,30,3,1,0,1,1,0,0,0,1,0,0,1,0,0,1890000
3,110.0,25,3,1,1,1,1,0,0,0,1,0,0,0,1,0,1795000
4,165.0,7,16,1,0,2,0,0,1,0,0,1,0,0,0,1,2849000
5,230.0,2,16,1,1,2,0,0,1,0,0,0,1,0,0,1,6249000
5,215.0,4,8,1,0,2,0,0,1,0,1,0,0,0,0,1,4220000
4,130.0,45,4,1,0,1,0,0,1,0,0,1,0,1,0,0,3750000
4,120.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1779000
4,120.0,29,3,1,0,1,0,0,1,0,0,1,0,0,1,0,2340000
4,170.0,8,13,1,0,2,0,0,1,0,0,1,0,0,1,0,2299000
4,170.0,2,25,1,0,2,0,0,1,0,0,0,1,1,0,0,3149000
5,185.0,4,10,1,0,2,0,0,1,0,0,0,1,1,0,0,3390000
5,170.0,24,2,1,0,2,0,0,1,0,1,0,0,1,0,0,3250000
